Tipo cambio de compra y de venta del dólar de los Estados Unidos de América
Referencia del Banco Central de Costa Rica, en colones costarricenses


Fecha;Tipo cambio compra;Tipo cambio venta
2018-01-01;566.42000000;572.56000000
2018-01-02;566.42000000;572.56000000
2018-01-03;566.08000000;572.71000000
2018-01-04;566.76000000;572.25000000
2018-01-05;568.03000000;572.97000000
2018-01-06;566.03000000;572.42000000
2018-01-07;566.03000000;572.42000000
2018-01-08;566.03000000;572.42000000
2018-01-09;565.85000000;572.94000000
2018-01-10;566.99000000;572.79000000
2018-01-11;566.86000000;573.06000000
2018-01-12;567.17000000;572.38000000
2018-01-13;566.00000000;571.96000000
2018-01-14;566.00000000;571.96000000
2018-01-15;566.00000000;571.96000000
2018-01-16;565.29000000;571.51000000
2018-01-17;565.50000000;571.56000000
2018-01-18;565.85000000;570.47000000
2018-01-19;565.90000000;571.06000000
2018-01-20;565.61000000;571.73000000
2018-01-21;565.61000000;571.73000000
2018-01-22;565.61000000;571.73000000
2018-01-23;566.03000000;571.85000000
2018-01-24;566.23000000;572.02000000
2018-01-25;565.63000000;571.66000000
2018-01-26;566.40000000;571.12000000
2018-01-27;566.05000000;571.09000000
2018-01-28;566.05000000;571.09000000
2018-01-29;566.05000000;571.09000000
2018-01-30;565.90000000;571.61000000
2018-01-31;566.40000000;572.27000000
2018-02-01;566.31000000;573.22000000
2018-02-02;567.99000000;573.50000000
2018-02-03;567.54000000;574.09000000
2018-02-04;567.54000000;574.09000000
2018-02-05;567.54000000;574.09000000
2018-02-06;568.29000000;575.37000000
2018-02-07;569.80000000;576.51000000
2018-02-08;570.24000000;577.36000000
2018-02-09;571.48000000;576.75000000
2018-02-10;569.44000000;575.42000000
2018-02-11;569.44000000;575.42000000
2018-02-12;569.44000000;575.42000000
2018-02-13;567.69000000;574.55000000
2018-02-14;567.36000000;572.80000000
2018-02-15;566.51000000;572.34000000
2018-02-16;566.84000000;572.06000000
2018-02-17;566.64000000;572.54000000
2018-02-18;566.64000000;572.54000000
2018-02-19;566.64000000;572.54000000
2018-02-20;566.04000000;572.41000000
2018-02-21;566.26000000;572.88000000
2018-02-22;566.36000000;572.61000000
2018-02-23;566.83000000;572.58000000
2018-02-24;566.56000000;572.43000000
2018-02-25;566.56000000;572.43000000
2018-02-26;566.56000000;572.43000000
2018-02-27;566.69000000;572.84000000
2018-02-28;567.12000000;572.82000000
2018-03-01;566.62000000;572.84000000
2018-03-02;566.66000000;572.81000000
2018-03-03;566.32000000;572.78000000
2018-03-04;566.32000000;572.78000000
2018-03-05;566.32000000;572.78000000
2018-03-06;566.37000000;572.76000000
2018-03-07;566.64000000;571.74000000
2018-03-08;566.40000000;571.85000000
2018-03-09;566.53000000;571.77000000
2018-03-10;566.41000000;572.11000000
2018-03-11;566.41000000;572.11000000
2018-03-12;566.41000000;572.11000000
2018-03-13;565.84000000;572.34000000
2018-03-14;565.40000000;571.50000000
2018-03-15;564.78000000;569.91000000
2018-03-16;563.33000000;568.26000000
2018-03-17;562.68000000;568.66000000
2018-03-18;562.68000000;568.66000000
2018-03-19;562.68000000;568.66000000
2018-03-20;561.68000000;568.69000000
2018-03-21;561.80000000;568.08000000
2018-03-22;562.25000000;568.18000000
2018-03-23;562.80000000;567.45000000
2018-03-24;562.15000000;567.34000000
2018-03-25;562.15000000;567.34000000
2018-03-26;562.15000000;567.34000000
2018-03-27;562.04000000;568.08000000
2018-03-28;563.17000000;568.40000000
2018-03-29;562.40000000;569.31000000
2018-03-30;562.40000000;569.31000000
2018-03-31;562.40000000;569.31000000
2018-04-01;562.40000000;569.31000000
2018-04-02;562.40000000;569.31000000
2018-04-03;561.31000000;569.19000000
2018-04-04;561.98000000;569.33000000
2018-04-05;562.99000000;569.12000000
2018-04-06;564.13000000;569.87000000
2018-04-07;564.48000000;570.20000000
2018-04-08;564.48000000;570.20000000
2018-04-09;564.48000000;570.20000000
2018-04-10;562.47000000;568.88000000
2018-04-11;563.27000000;568.56000000
2018-04-12;563.27000000;568.56000000
2018-04-13;562.69000000;567.63000000
2018-04-14;562.07000000;567.00000000
2018-04-15;562.07000000;567.00000000
2018-04-16;562.07000000;567.00000000
2018-04-17;561.08000000;567.39000000
2018-04-18;561.10000000;567.47000000
2018-04-19;560.65000000;567.53000000
2018-04-20;561.21000000;566.82000000
2018-04-21;561.27000000;567.64000000
2018-04-22;561.27000000;567.64000000
2018-04-23;561.27000000;567.64000000
2018-04-24;560.66000000;567.56000000
2018-04-25;560.45000000;567.04000000
2018-04-26;561.19000000;567.03000000
2018-04-27;562.17000000;567.30000000
2018-04-28;562.04000000;568.31000000
2018-04-29;562.04000000;568.31000000
2018-04-30;562.04000000;568.31000000
2018-05-01;562.13000000;568.82000000
2018-05-02;562.13000000;568.82000000
2018-05-03;560.57000000;568.71000000
2018-05-04;561.64000000;568.53000000
2018-05-05;562.76000000;569.08000000
2018-05-06;562.76000000;569.08000000
2018-05-07;562.76000000;569.08000000
2018-05-08;562.96000000;569.39000000
2018-05-09;562.96000000;569.39000000
2018-05-10;563.21000000;569.08000000
2018-05-11;563.50000000;569.00000000
2018-05-12;562.78000000;568.92000000
2018-05-13;562.78000000;568.92000000
2018-05-14;562.78000000;568.92000000
2018-05-15;562.24000000;568.30000000
2018-05-16;562.24000000;567.97000000
2018-05-17;562.90000000;568.01000000
2018-05-18;561.77000000;567.83000000
2018-05-19;560.94000000;567.70000000
2018-05-20;560.94000000;567.70000000
2018-05-21;560.94000000;567.70000000
2018-05-22;560.46000000;567.04000000
2018-05-23;560.69000000;567.14000000
2018-05-24;560.87000000;567.31000000
2018-05-25;562.45000000;568.19000000
2018-05-26;561.80000000;567.91000000
2018-05-27;561.80000000;567.91000000
2018-05-28;561.80000000;567.91000000
2018-05-29;561.65000000;568.77000000
2018-05-30;562.43000000;568.84000000
2018-05-31;563.50000000;568.77000000
2018-06-01;564.16000000;569.97000000
2018-06-02;564.10000000;570.54000000
2018-06-03;564.10000000;570.54000000
2018-06-04;564.10000000;570.54000000
2018-06-05;563.17000000;570.44000000
2018-06-06;562.76000000;570.25000000
2018-06-07;565.01000000;570.49000000
2018-06-08;564.36000000;570.69000000
2018-06-09;564.27000000;571.16000000
2018-06-10;564.27000000;571.16000000
2018-06-11;564.27000000;571.16000000
2018-06-12;563.08000000;570.45000000
2018-06-13;564.36000000;570.44000000
2018-06-14;565.03000000;570.37000000
2018-06-15;565.01000000;570.19000000
2018-06-16;564.57000000;569.94000000
2018-06-17;564.57000000;569.94000000
2018-06-18;564.57000000;569.94000000
2018-06-19;564.01000000;570.76000000
2018-06-20;564.40000000;570.31000000
2018-06-21;562.85000000;570.19000000
2018-06-22;563.92000000;570.67000000
2018-06-23;564.99000000;570.52000000
2018-06-24;564.99000000;570.52000000
2018-06-25;564.99000000;570.52000000
2018-06-26;563.76000000;570.65000000
2018-06-27;564.08000000;570.59000000
2018-06-28;564.74000000;570.05000000
2018-06-29;564.17000000;569.79000000
2018-06-30;563.44000000;570.08000000
2018-07-01;563.44000000;570.08000000
2018-07-02;563.44000000;570.08000000
2018-07-03;562.45000000;571.08000000
2018-07-04;564.02000000;571.26000000
2018-07-05;563.96000000;570.53000000
2018-07-06;565.10000000;570.29000000
2018-07-07;563.68000000;570.94000000
2018-07-08;563.68000000;570.94000000
2018-07-09;563.68000000;570.94000000
2018-07-10;564.06000000;571.54000000
2018-07-11;563.31000000;570.68000000
2018-07-12;564.21000000;569.68000000
2018-07-13;564.33000000;570.04000000
2018-07-14;563.84000000;569.76000000
2018-07-15;563.84000000;569.76000000
2018-07-16;563.84000000;569.76000000
2018-07-17;563.91000000;569.58000000
2018-07-18;564.43000000;570.30000000
2018-07-19;564.45000000;570.71000000
2018-07-20;564.07000000;569.94000000
2018-07-21;564.13000000;570.39000000
2018-07-22;564.13000000;570.39000000
2018-07-23;564.13000000;570.39000000
2018-07-24;564.19000000;570.89000000
2018-07-25;563.91000000;570.29000000
2018-07-26;563.91000000;570.29000000
2018-07-27;563.64000000;569.36000000
2018-07-28;563.74000000;569.81000000
2018-07-29;563.74000000;569.81000000
2018-07-30;563.74000000;569.81000000
2018-07-31;563.43000000;570.07000000
2018-08-01;563.85000000;570.19000000
2018-08-02;564.83000000;570.34000000
2018-08-03;564.83000000;570.34000000
2018-08-04;562.76000000;570.15000000
2018-08-05;562.76000000;570.15000000
2018-08-06;562.76000000;570.15000000
2018-08-07;564.31000000;570.78000000
2018-08-08;563.29000000;570.65000000
2018-08-09;564.05000000;570.91000000
2018-08-10;564.41000000;569.82000000
2018-08-11;564.25000000;570.19000000
2018-08-12;564.25000000;570.19000000
2018-08-13;564.25000000;570.19000000
2018-08-14;564.47000000;570.22000000
2018-08-15;564.57000000;570.00000000
2018-08-16;564.57000000;570.00000000
2018-08-17;564.08000000;570.12000000
2018-08-18;564.42000000;569.78000000
2018-08-19;564.42000000;569.78000000
2018-08-20;564.42000000;569.78000000
2018-08-21;563.33000000;571.24000000
2018-08-22;563.90000000;571.96000000
2018-08-23;565.23000000;571.24000000
2018-08-24;565.86000000;572.26000000
2018-08-25;565.27000000;571.75000000
2018-08-26;565.27000000;571.75000000
2018-08-27;565.27000000;571.75000000
2018-08-28;565.97000000;572.65000000
2018-08-29;566.09000000;573.18000000
2018-08-30;567.07000000;574.86000000
2018-08-31;569.54000000;575.67000000
2018-09-01;571.36000000;578.56000000
2018-09-02;571.36000000;578.56000000
2018-09-03;571.36000000;578.56000000
2018-09-04;574.01000000;583.11000000
2018-09-05;576.87000000;585.15000000
2018-09-06;579.09000000;585.74000000
2018-09-07;581.28000000;586.90000000
2018-09-08;579.39000000;585.62000000
2018-09-09;579.39000000;585.62000000
2018-09-10;579.39000000;585.62000000
2018-09-11;576.72000000;584.47000000
2018-09-12;575.77000000;582.40000000
2018-09-13;574.39000000;579.76000000
2018-09-14;574.47000000;579.69000000
2018-09-15;573.61000000;581.34000000
2018-09-16;573.61000000;581.34000000
2018-09-17;573.61000000;581.34000000
2018-09-18;573.93000000;580.65000000
2018-09-19;575.13000000;580.71000000
2018-09-20;574.33000000;580.78000000
2018-09-21;575.66000000;581.43000000
2018-09-22;574.61000000;581.09000000
2018-09-23;574.61000000;581.09000000
2018-09-24;574.61000000;581.09000000
2018-09-25;577.27000000;580.70000000
2018-09-26;575.04000000;581.54000000
2018-09-27;577.58000000;582.87000000
2018-09-28;579.45000000;585.69000000
2018-09-29;579.12000000;585.80000000
2018-09-30;579.12000000;585.80000000
2018-10-01;579.12000000;585.80000000
2018-10-02;578.10000000;586.14000000
2018-10-03;579.03000000;587.15000000
2018-10-04;580.80000000;587.57000000
2018-10-05;584.05000000;588.87000000
2018-10-06;583.20000000;591.27000000
2018-10-07;583.20000000;591.27000000
2018-10-08;583.20000000;591.27000000
2018-10-09;585.63000000;593.22000000
2018-10-10;588.08000000;594.60000000
2018-10-11;589.47000000;596.18000000
2018-10-12;591.73000000;598.14000000
2018-10-13;590.51000000;597.15000000
2018-10-14;590.51000000;597.15000000
2018-10-15;590.51000000;597.15000000
2018-10-16;590.51000000;597.15000000
2018-10-17;590.55000000;596.89000000
2018-10-18;589.80000000;596.81000000
2018-10-19;590.33000000;595.81000000
2018-10-20;589.53000000;596.54000000
2018-10-21;589.53000000;596.54000000
2018-10-22;589.53000000;596.54000000
2018-10-23;590.27000000;597.09000000
2018-10-24;590.19000000;596.13000000
2018-10-25;592.84000000;597.76000000
2018-10-26;594.80000000;599.40000000
2018-10-27;594.51000000;601.40000000
2018-10-28;594.51000000;601.40000000
2018-10-29;594.51000000;601.40000000
2018-10-30;596.48000000;605.59000000
2018-10-31;603.20000000;610.74000000
2018-11-01;613.01000000;620.76000000
2018-11-02;611.97000000;618.89000000
2018-11-03;613.16000000;622.08000000
2018-11-04;613.16000000;622.08000000
2018-11-05;613.16000000;622.08000000
2018-11-06;617.23000000;627.20000000
2018-11-07;622.99000000;631.30000000
2018-11-08;619.68000000;628.11000000
2018-11-09;619.85000000;625.31000000
2018-11-10;616.96000000;623.71000000
2018-11-11;616.96000000;623.71000000
2018-11-12;616.96000000;623.71000000
2018-11-13;614.27000000;621.46000000
2018-11-14;614.26000000;620.13000000
2018-11-15;610.31000000;616.21000000
2018-11-16;603.60000000;610.29000000
2018-11-17;597.26000000;604.76000000
2018-11-18;597.26000000;604.76000000
2018-11-19;597.26000000;604.76000000
2018-11-20;595.06000000;603.04000000
2018-11-21;595.87000000;604.52000000
2018-11-22;597.60000000;607.29000000
2018-11-23;602.97000000;609.75000000
2018-11-24;605.00000000;610.79000000
2018-11-25;605.00000000;610.79000000
2018-11-26;605.00000000;610.79000000
2018-11-27;602.78000000;610.19000000
2018-11-28;600.06000000;606.20000000
2018-11-29;597.03000000;602.69000000
2018-11-30;596.15000000;603.10000000
2018-12-01;596.91000000;604.28000000
2018-12-02;596.91000000;604.28000000
2018-12-03;596.91000000;604.28000000
2018-12-04;597.13000000;604.45000000
2018-12-05;598.33000000;603.82000000
2018-12-06;597.29000000;602.95000000
2018-12-07;597.40000000;603.22000000
2018-12-08;595.45000000;601.66000000
2018-12-09;595.45000000;601.66000000
2018-12-10;595.45000000;601.66000000
2018-12-11;595.30000000;602.08000000
2018-12-12;594.74000000;601.60000000
2018-12-13;595.68000000;600.76000000
2018-12-14;595.18000000;599.88000000
2018-12-15;593.21000000;598.69000000
2018-12-16;593.21000000;598.69000000
2018-12-17;593.21000000;598.69000000
2018-12-18;593.13000000;599.93000000
2018-12-19;595.01000000;601.66000000
2018-12-20;598.40000000;604.05000000
2018-12-21;600.22000000;605.54000000
2018-12-22;600.16000000;606.51000000
2018-12-23;600.16000000;606.51000000
2018-12-24;600.16000000;606.51000000
2018-12-25;600.96000000;607.64000000
2018-12-26;600.96000000;607.64000000
2018-12-27;601.82000000;608.87000000
2018-12-28;603.69000000;610.42000000
2018-12-29;604.39000000;611.75000000
2018-12-30;604.39000000;611.75000000
2018-12-31;604.39000000;611.75000000
2019-01-01;604.39000000;611.75000000
