Date,demand_Maa,own_price,compe_price,inc_per_capita,pro_exp
Apr-11,"12,890.00",65.00,69.22,"4,343.17","1,170.00"
May-11,"12,850.00",65.90,70.67,"4,347.59","1,162.26"
Jun-11,"13,180.00",65.40,74.77,"4,356.44","1,164.06"
Jul-11,"13,785.00",65.34,75.00,"4,369.71","1,193.13"
Aug-11,"13,880.00",66.00,75.00,"4,387.40","1,241.55"
Sep-11,"12,680.00",69.00,77.29,"4,409.51","1,254.15"
Oct-11,"13,290.00",69.00,79.06,"4,436.05","1,149.57"
Nov-11,"13,498.00",69.25,81.37,"4,467.01","1,200.06"
Dec-11,"11,980.00",74.56,84.00,"4,502.40","1,220.40"
Jan-12,"12,085.00",78.00,91.61,"4,542.20","1,082.70"
Feb-12,"10,980.00",84.00,91.11,"4,586.43","1,092.06"
Mar-12,"10,820.00",87.00,95.79,"4,635.08",989.37
Apr-12,"10,768.00",90.00,99.13,"4,688.16",978.03
May-12,"11,125.00",90.00,99.70,"4,743.18",972.09
Jun-12,"11,985.00",88.00,98.44,"4,800.15","1,004.94"
Jul-12,"12,248.00",89.00,104.62,"4,859.07","1,081.71"
Aug-12,"13,985.00",89.00,105.42,"4,919.94","1,110.15"
Sep-12,"13,580.00",92.00,104.45,"4,982.76","1,262.25"
Oct-12,"13,895.00",91.00,104.94,"5,047.52","1,229.22"
Nov-12,"11,270.00",94.00,105.95,"5,114.23","1,257.75"
Dec-12,"10,485.00",95.00,106.00,"5,182.89","1,021.50"
Jan-13,"11,545.00",91.00,106.00,"5,253.50",943.92
Feb-13,"12,465.00",86.00,105.58,"5,326.05","1,043.46"
Mar-13,"12,025.00",86.00,102.84,"5,400.55","1,125.90"
Apr-13,"11,985.00",85.00,96.84,"5,477.00","1,090.08"
May-13,"12,245.00",80.00,94.26,"5,550.97","1,087.20"
Jun-13,"11,976.00",80.01,94.00,"5,622.45","1,105.92"
Jul-13,"12,095.00",79.64,95.00,"5,691.44","1,084.50"
Aug-13,"11,958.00",78.00,92.72,"5,757.95","1,096.92"
Sep-13,"11,874.00",78.09,95.00,"5,821.98","1,080.63"
Oct-13,"11,850.00",78.14,95.25,"5,883.52","1,069.38"
Nov-13,"11,535.00",81.54,96.53,"5,942.57","1,069.47"
Dec-13,"10,258.00",81.27,98.00,"5,999.14","1,039.14"
Jan-14,"11,680.00",80.01,97.89,"6,053.22",932.04
Feb-14,"10,768.00",80.00,93.47,"6,104.82","1,052.37"
Mar-14,"10,457.00",80.81,95.30,"6,153.93",970.11
Apr-14,"11,527.00",78.98,93.76,"6,200.56",943.47
May-14,"11,615.00",78.76,92.06,"6,252.15","1,043.37"
Jun-14,"11,675.00",78.23,92.00,"6,308.70","1,050.03"
Jul-14,"11,600.00",78.25,92.00,"6,370.21","1,056.51"
Aug-14,"10,980.00",77.88,92.00,"6,436.68","1,048.14"
Sep-14,"11,099.00",77.34,94.29,"6,508.11",993.69
Oct-14,"10,657.00",78.59,95.29,"6,584.51","1,004.22"
Nov-14,"9,645.00",83.53,98.11,"6,665.86",961.38
Dec-14,"9,026.00",87.29,100.00,"6,752.18",869.13
Jan-15,"8,875.00",90.72,101.06,"6,843.45",814.68
Feb-15,"9,585.00",88.03,101.10,"6,939.69",801.99
Mar-15,"10,256.00",85.63,99.40,"7,040.89",868.68
Apr-15,"10,985.00",84.25,99.22,"7,147.05",925.11
May-15,"10,542.00",87.90,101.58,"7,244.36",991.26
Jun-15,"12,465.00",90.01,107.95,"7,332.83",956.79
Jul-15,"13,275.00",90.00,108.52,"7,412.45","1,123.20"
Aug-15,"13,786.00",88.89,107.76,"7,483.22","1,202.13"
Sep-15,"13,256.00",91.38,109.14,"7,545.15","1,247.31"
